3,10.1.1.2,"20th August 2018",Chrome
16,10.1.1.2,"20th August 2018",Chrome
5,10.1.1.2,"20th August 2018",Chrome
60,10.1.1.2,"20th August 2018",Chrome
1.5,10.1.1.2,"21st August 2018",Chrome
9,10.1.1.2,"21st August 2018",Chrome
2,10.1.1.2,"21st August 2018",Chrome
0,10.1.1.2,"21st August 2018",Chrome
18,10.1.1.2,"22nd August 2018",Firefox
14.6,10.1.1.2,"22nd August 2018",Safari
0,10.1.1.2,"30th August 2018",Chrome
0,10.1.1.2,"30th August 2018",Chrome
0,10.1.1.2,"30th August 2018",Chrome
60,10.1.1.2,"30th August 2018",Chrome
3.3333333333333335,10.1.1.2,"30th August 2018",Chrome
,10.1.1.2,"31st August 2018",
0,10.1.1.2,"12th September 2018",Chrome
36,10.1.1.2,"18th September 2018",Chrome
6,10.1.1.2,"20th July 2019",Chrome
